RF_MES	VL_BRENT	VL_NAFTA_ARA	PR_PROG_EUR	PR_PROG_USA	PR_PROG_ASIA	ETENO_SPOT_EUR	VL_ETENO	ESTIMATIVA	ERRO	% ACERTO			
1	108.25	918.58	0.04	0.03	0.01	1333	1688	1589.5062	98.4938	94.1650592417	1586.4743	101.5257	93.9854443128
2	108.87	913.65	0.02	0.02	0.03	1233.75	1639	1531.6773	107.3227	93.4519402074	1555.5604	83.4396	94.9091153142
3	107.54	911.41	0.04	0.05	0.07	1235	1633	1512.793	120.207	92.6388854868	1544.6629	88.3371	94.5905021433
4	107.63	925.63	0.06	0.09	0.09	1200	1609	1505.1137	103.8863	93.5434244873	1528.3598	80.6402	94.9881789932
5	109.61	937.84	0.08	0.14	0.06	1207	1593	1578.3951	14.6049	99.0831826742	1545.5982	47.4018	97.0243691149
6	111.65	952.45	0.07	0.11	0.06	1301.25	1590	1623.2679	33.2679	97.9076792453	1595.972	5.972	99.6244025157
7	106.64	935.51	0.05	0.09	0.05	1336.25	1651	1604.8287	46.1713	97.2034342823	1568.721	82.279	95.0164142944
8	101.61	865.81	0.07	0.06	0.07	1303	1605	1534.5533	70.4467	95.6107975078	1529.3235	75.6765	95.284953271
9	97.3	841.36	0.08	0.07	0.1	1184.38	1483	1434.8201	48.1799	96.7511867835	1451.855	31.145	97.8998651382
10	87.4	711.52	0.15	0.09	0.09	1232.1	1458	1430.5084	27.4916	98.114430727	1415.4644	42.5356	97.08260631
11	78.89	628.94	0.15	0.08	0.07	1194.25	1322	1377.7144	55.7144	95.7855975794	1346.4218	24.4218	98.1526626324
12	62.53	491.98	0.09	0.06	0.05	1043.75	1245	1218.692	26.308	97.8869076305	1178.2854	66.7146	94.6413975904
1	47.86	396.91	0.08	0.08	0.05	847.9	1023	995	28	97.2629521017	996.9447	26.0553	97.4530498534
2	58.13	502.13	0.07	0.04	0.03	825.38	919	1036.2208	117.2208	87.2447442873	1052.8108	133.8108	85.4395212187
3	55.92	504.86	0.1	0.02	0.05	945.25	984	1049.9465	65.9465	93.2981199187	1077.8548	93.8548	90.4619105691
4	59.76	525.61	0.1	0.04	0.11	1105	1044	1124.1902	80.1902	92.3189463602	1167.7441	123.7441	88.1471168582
5	64.32	550.86	0.13	0.04	0.16	1280.7	1166	1203.7975	37.7975	96.7583619211	1268.9917	102.9917	91.1670926244
6	61.69	538.07	0.13	0.02	0.09	1350.13	1240	1264.9303	24.9303	97.9894919355	1275.1703	35.1703	97.1636854839
7	56.54	472.37	0.05	0.03	0.07	1239.1	1216	1217.9951	1.9951	99.8359292763	1204.0026	11.9974	99.0133717105
8	46.64	403.38	0.06	0.02	0.02	1081.75	1152	1114.4354	37.5646	96.7391840278	1073.3189	78.6811	93.1700434028
9	47.61	411.66	0.14	0.05	0.02	947.88	1061	1071.9412	10.9412	98.9687841659	1028.8551	32.1449	96.9703204524
10	48.56	430.26	0.1	0.07	0.05	810.2	1016	1004.5142	11.4858	98.869507874	980.0157	35.9843	96.458238189
11	44.29	419.18	0.08	0.07	0.05	889.38	969	1016.8861	47.8861	95.0581940144	974.6942	5.6942	99.4123632611
12	38.21	387.41	0.04	0	0.06	928.88	1010	950	60	94.0594059406	943.4714	66.5286	93.413009901
1	30.69	317.83	0.04	0.01	0.05	868	977	845	132	86.4892528147	871.109	105.891	89.1616171955
2	32.48	292.71	0.04	0	0.04	813.5	920	845.9892	74.0108	91.9553478261	873.1389	46.8611	94.9064021739
3	38.49	350.64	0.05	0.02	0.07	820.38	901	876.0448	24.9552	97.2302774695	914.4414	13.4414	98.5081687014
